|,|__appid,|__name,|__developer,|__publisher,|__score_rank,|__positive,|__negative,|__userscore,|__owners,|__average_forever,|__average_2weeks,|__median_forever,|__median_2weeks,|__price,|__initialprice,|__discount,,
277520,277520,Albedo: Eyes from Outer Space,Z4G0 and Ivan Venturi Productions,Merge Games,,131,106,0,"50,000 .. 100,000",157,0,129,0,1499,1499,0,,
355860,355860,Albino Lullaby: Episode 1,Ape Law,Ape Law,,242,78,0,"20,000 .. 50,000",276,0,215,0,999,999,0,,
326190,326190,Alchemy Mysteries: Prague Legends,Jetdogs Studios,Jetdogs Studios,,766,227,0,"100,000 .. 200,000",266,0,222,0,199,199,0,,
unknow,unknow,Alex Hunter - Lord of the Mind,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
unknow,unknow,Alganon,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
unknow,unknow,Alice Madness Returns,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
22650,22650,Alien Breed 2: Assault,Team17 Digital Ltd,Team17 Digital Ltd,,472,222,0,"200,000 .. 500,000",100,0,24,0,999,999,0,,
22670,22670,Alien Breed 3: Descent,Team17 Digital Ltd,Team17 Digital Ltd,,240,86,0,"200,000 .. 500,000",105,0,13,0,999,999,0,,
22610,22610,Alien Breed: Impact,Team17 Software Ltd.,Team17 Digital Ltd,,771,300,0,"200,000 .. 500,000",144,0,39,0,999,999,0,,
358280,358280,Alien Carnage / Halloween Harry,"Interactive Binary Illusions, SubZero Software",3D Realms (Apogee Software),,20,17,0,"50,000 .. 100,000",12,0,15,0,0,0,0,,
98900,98900,Alien Hallway,Sigma Team Inc.,Sigma Team Inc.,,139,89,0,"50,000 .. 100,000",155,0,50,0,499,499,0,,
217920,217920,Alien Rage - Unlimited,CI Games,CI Games,,1627,699,0,"200,000 .. 500,000",114,176,43,327,199,1999,90,,
33100,33100,Alien Shooter,Sigma Team Inc.,Sigma Team Inc.,,788,90,0,"200,000 .. 500,000",2793,42,133,43,499,499,0,,
211010,211010,Alien Shooter 2 Conscription,Sigma Team Inc.,Sigma Team Inc.,,195,45,0,"100,000 .. 200,000",3421,98,173,121,999,999,0,,
33120,33120,Alien Shooter 2: Reloaded,Sigma Team Inc.,Sigma Team Inc.,,971,81,0,"200,000 .. 500,000",1479,159,160,192,499,499,0,,
unknow,unknow,Alien Shooter Vengeance,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
33110,33110,Alien Shooter: Revisited,Sigma Team Inc.,Sigma Team Inc.,,146,79,0,"200,000 .. 500,000",115,114,79,147,499,499,0,,
207000,207000,Alien Spidy,Enigma SP,Kalypso Media Digital,,82,54,0,"20,000 .. 50,000",67,0,15,0,999,999,0,,
630,630,Alien Swarm,Valve,Valve,,17376,942,0,"2,000,000 .. 5,000,000",438,214,98,147,0,0,0,,
110610,110610,Alien Zombie Megadeath,PomPom,Pom Pom Games,,47,17,0,"20,000 .. 50,000",19,0,15,0,499,499,0,,
214490,214490,Alien: Isolation,"Creative Assembly, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",,24372,1943,0,"1,000,000 .. 2,000,000",649,83,258,81,3999,3999,0,,
unknow,unknow,Aliens Colonial Marines,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
3730,3730,Aliens versus Predator Classic 2000,Rebellion,Rebellion,,1419,215,0,"200,000 .. 500,000",193,42,53,42,499,499,0,,
10680,10680,Aliens vs. Predator,Rebellion,SEGA,,9386,1175,0,"1,000,000 .. 2,000,000",794,99,274,117,1499,1499,0,,
373330,373330,All Is Dust,Mannequin Games LLC,Mannequin Games LLC,,525,685,0,"200,000 .. 500,000",29,0,6,0,0,0,0,,
